Player,PTS,Pos,Age,Tm,G,GS,MP,FG,FGA,P3,P3A,P2,P2A,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
Zion Williamson,1510,PF,23,NOP,66,66,2072,589,1016,5,14,584,1002,327,469,116,268,384,332,65,44,181,154
Ziaire Williams,420,SF,22,MEM,51,15,1038,150,378,58,189,92,189,62,75,35,145,180,75,36,9,66,85
Zeke Nnaji,174,PF,23,DEN,54,0,536,63,139,6,22,57,117,42,59,58,59,117,31,14,37,27,75
Zavier Simpson,16,PG,26,MEM,3,0,72,5,22,3,8,2,14,3,4,3,4,7,11,5,3,6,4
Zach LaVine,487,SG,28,CHI,25,23,872,170,376,59,169,111,207,88,103,8,121,129,98,21,8,52,57
Zach Collins,719,C,26,SAS,65,27,1444,277,574,53,170,224,404,112,151,111,230,341,184,31,48,124,200
Yuta Watanabe,117,SF,29,TOT,34,0,464,41,116,25,85,16,31,10,17,11,43,54,15,12,7,19,39
Xavier Tillman Sr.,265,C,25,TOT,50,14,931,113,264,17,75,96,189,22,49,68,139,207,73,48,42,32,71
Xavier Moon,11,SG,29,LAC,10,0,39,5,15,0,5,5,10,1,2,3,3,6,7,1,1,4,4
Wesley Matthews,108,SG,37,ATL,35,3,408,34,97,24,69,10,28,16,22,9,44,53,22,15,11,8,43
Wenyen Gabriel,17,PF,26,MEM,5,0,81,8,22,1,6,7,16,0,5,7,18,25,3,2,2,8,10
Wendell Carter Jr.,576,C,24,ORL,51,45,1344,212,403,61,162,151,241,91,132,105,265,370,93,34,28,65,114
Walker Kessler,518,C,22,UTA,64,22,1493,229,350,4,19,225,331,56,93,165,316,481,60,30,154,66,132
Vit Krejci,111,PG,23,ATL,18,13,446,41,79,24,53,17,26,5,6,7,32,39,40,9,6,13,40
Vince Williams Jr.,521,SG,23,MEM,52,33,1436,169,379,79,209,90,170,104,130,59,231,290,175,47,34,92,135
Victor Wembanyama,1470,C,20,SAS,69,69,2039,530,1140,123,377,407,763,287,360,159,577,736,263,87,245,252,151
Vasilije Micic,406,PG,30,TOT,56,17,1102,153,348,41,144,112,204,59,73,14,68,82,246,29,6,91,64
Tyus Jones,790,PG,27,WAS,66,66,1933,326,666,106,256,220,410,32,40,20,159,179,485,71,18,66,48
Tyrese Maxey,1762,PG,23,PHI,68,68,2557,618,1380,204,552,414,828,322,370,35,218,253,427,68,32,113,146
Tyrese Haliburton,1328,PG,23,IND,66,65,2132,478,1009,188,513,290,496,184,213,35,223,258,722,77,46,150,70
Tyler Herro,787,SG,24,MIA,38,36,1265,296,674,121,304,175,370,74,89,18,183,201,165,29,3,78,55
Troy Brown Jr.,237,SF,24,TOT,55,11,732,80,205,47,133,33,72,30,35,23,106,129,54,18,2,28,39
Tristan Vukcevic,66,C,20,WAS,9,3,131,24,56,8,29,16,27,10,13,6,29,35,12,4,6,7,24
Tristan Thompson,155,C,32,CLE,48,0,537,70,113,0,1,70,112,15,50,71,100,171,51,12,14,29,59
Trey Murphy III,749,SF,23,NOP,53,20,1534,247,570,149,406,98,164,106,133,40,216,256,113,46,27,31,66
Trey Lyles,402,PF,28,SAC,54,0,1088,138,304,79,206,59,98,47,68,55,184,239,66,15,18,36,83
Trevelin Queen,40,SG,26,ORL,13,0,163,14,38,3,17,11,21,9,12,3,16,19,18,7,5,7,15
Trent Forrest,77,SG,25,ATL,36,0,388,31,85,2,10,29,75,13,16,10,36,46,85,10,3,18,25
Trendon Watford,395,PF,23,BRK,60,0,765,151,283,25,62,126,221,68,82,50,116,166,68,22,18,55,99
Tre Mann,325,PG,22,TOT,37,24,860,125,269,40,110,85,159,35,46,18,116,134,138,42,3,58,45
Tre Jones,725,PG,24,SAS,73,44,2015,282,553,61,175,221,378,100,115,56,208,264,451,73,8,111,89
Trayce Jackson-Davis,505,PF,23,GSW,64,12,1036,219,312,0,1,219,311,67,119,127,188,315,75,27,69,45,104
Trae Young,1344,PG,25,ATL,51,51,1862,418,982,169,456,249,526,339,396,22,118,140,553,70,11,220,106
Toumani Camara,527,PF,23,POR,70,49,1739,197,438,58,172,139,266,75,99,139,204,343,87,66,33,84,174
Tosan Evbuomwan,101,SF,22,TOT,17,8,367,36,71,12,32,24,39,17,25,18,42,60,16,6,5,9,23
Torrey Craig,283,SF,33,CHI,49,13,973,101,236,56,147,45,89,25,33,65,128,193,53,27,19,30,100
Tobias Harris,1154,PF,31,PHI,67,67,2272,444,913,87,248,357,665,179,204,72,355,427,208,67,42,91,112
Tim Hardaway Jr.,1108,SF,31,DAL,75,10,2044,380,943,205,575,175,368,143,167,21,224,245,132,39,6,66,104
Thomas Bryant,199,C,26,MIA,37,4,418,78,139,4,21,74,118,39,45,37,94,131,22,10,15,19,45
Thanasis Antetokounmpo,26,PF,31,MIL,30,0,137,13,26,0,1,13,25,0,2,7,6,13,14,5,4,12,23
Thaddeus Young,132,PF,35,TOT,30,6,410,63,103,1,6,62,97,5,14,42,56,98,55,21,5,13,43
Terry Taylor,46,PF,24,CHI,31,0,188,20,39,2,9,18,30,4,5,17,20,37,10,5,2,7,17
Terry Rozier,1205,PG,29,TOT,61,60,2040,442,998,149,410,293,588,172,198,35,212,247,342,63,21,106,101
Terquavion Smith,51,PG,21,PHI,13,0,75,18,43,13,33,5,10,2,3,0,3,3,11,8,0,5,6
Terance Mann,609,SG,27,LAC,71,67,1794,233,464,68,198,165,266,75,91,80,154,234,116,42,15,45,139
Taylor Hendricks,261,PF,20,UTA,36,19,752,96,217,48,129,48,88,21,27,40,123,163,24,21,27,26,72
Taurean Prince,677,PF,29,LAL,75,49,2045,246,552,137,346,109,206,48,66,20,204,224,118,56,35,70,143
Tari Eason,215,PF,22,HOU,22,0,480,88,189,18,50,70,139,21,33,46,107,153,27,31,19,20,51
Talen Horton-Tucker,464,PG,23,UTA,48,11,919,164,417,54,163,110,254,82,103,20,92,112,166,44,16,58,84
Taj Gibson,24,PF,38,TOT,18,1,185,10,28,2,10,8,18,2,2,10,20,30,9,3,6,5,30
T.J. Warren,41,SF,30,MIN,10,0,123,18,41,2,13,16,28,3,4,5,17,22,9,4,1,4,11
T.J. McConnell,677,PG,31,IND,68,4,1235,307,555,14,38,293,517,49,62,36,147,183,368,70,8,104,73
Svi Mykhailiuk,114,SF,26,BOS,37,0,323,40,104,30,84,10,20,4,7,9,31,40,27,10,0,10,15
Stephen Curry,1878,PG,35,GSW,71,71,2320,623,1391,339,841,284,550,293,317,37,275,312,358,51,24,200,113
Stanley Umude,127,SG,24,DET,24,2,307,37,84,24,53,13,31,29,32,8,43,51,11,8,7,14,40
Spencer Dinwiddie,773,PG,30,TOT,73,52,2097,245,628,120,360,125,268,163,204,30,169,199,354,51,22,89,134
Skylar Mays,155,PG,26,TOT,36,5,430,63,158,16,54,47,104,13,17,10,33,43,84,21,4,20,26
Simone Fontecchio,692,SF,28,TOT,66,43,1644,252,548,134,334,118,214,54,66,64,182,246,101,44,23,68,110
Sidy Cissoko,6,SF,19,SAS,8,0,43,1,7,0,5,1,2,4,4,0,7,7,0,3,0,2,4
Shake Milton,216,SG,27,TOT,48,0,581,79,195,18,64,61,131,40,49,14,61,75,60,19,6,31,54
Shai Gilgeous-Alexander,2150,PG,25,OKC,71,71,2444,763,1416,92,252,671,1164,532,610,62,332,394,447,148,64,156,179
Shaedon Sharpe,510,SG,20,POR,32,25,1059,176,434,60,180,116,254,98,119,42,118,160,94,28,12,72,88
Seth Lundy,14,SF,23,ATL,9,0,52,4,17,3,13,1,4,3,4,1,6,7,0,0,0,1,6
Seth Curry,226,SG,33,TOT,44,4,616,80,204,38,108,42,96,28,31,18,50,68,44,22,6,21,39
Scotty Pippen Jr.,196,PG,23,MEM,17,12,404,70,140,25,53,45,87,31,43,15,33,48,74,26,9,43,46
Scottie Barnes,1191,SG,22,TOR,60,60,2094,447,942,101,296,346,646,196,251,141,353,494,363,75,88,165,118
Scoot Henderson,801,PG,19,POR,59,29,1652,283,736,77,243,206,493,158,193,48,135,183,302,44,12,194,186
Sasha Vezenkov,220,PF,28,SAC,40,0,489,82,184,44,115,38,69,12,15,30,63,93,19,19,7,12,40
Santi Aldama,654,PF,23,MEM,61,35,1618,247,568,106,304,141,264,54,87,72,280,352,138,43,54,69,89
Sandro Mamukelashvili,140,C,24,SAS,42,1,343,54,114,12,47,42,67,20,26,37,63,100,40,7,10,11,31
Sam Merrill,485,SG,27,CLE,61,1,1069,158,393,143,354,15,39,26,28,22,98,120,108,19,4,19,72
Sam Hauser,657,SF,26,BOS,75,11,1625,229,505,184,430,45,75,15,17,41,217,258,73,36,23,31,98
Saddiq Bey,863,SF,24,ATL,63,51,2062,290,697,113,358,177,339,170,203,167,244,411,92,51,11,54,88
Saben Lee,69,PG,24,PHO,22,0,179,19,54,2,16,17,38,29,39,9,22,31,30,7,3,8,13
Ryan Rollins,41,PG,21,TOT,11,0,67,13,25,2,3,11,22,13,17,2,9,11,11,8,3,7,7
Russell Westbrook,734,PG,35,LAC,66,10,1480,292,642,40,150,252,492,110,158,91,237,328,291,72,23,138,116
Rui Hachimura,878,PF,25,LAL,65,36,1731,346,639,93,218,253,421,93,128,53,218,271,74,37,23,44,99
Rudy Gobert,983,C,31,MIN,72,72,2447,378,579,0,3,378,576,227,357,268,657,925,95,45,151,113,225
Royce ONeale,573,SF,30,TOT,75,13,1844,202,507,148,397,54,110,21,31,58,296,354,205,54,42,71,163
Robin Lopez,18,C,35,MIL,16,2,65,7,19,2,8,5,11,2,2,3,2,5,4,1,3,2,7
Robert Covington,127,SF,33,TOT,29,6,488,43,98,19,56,24,42,22,26,31,66,97,24,39,18,11,56
RJ Barrett,1112,SG,23,TOT,56,56,1772,413,843,89,243,324,600,197,278,50,250,300,186,30,22,118,124
Ricky Council IV,167,SG,22,PHI,29,0,270,52,106,10,29,42,77,53,71,14,29,43,15,7,1,4,14
Richaun Holmes,199,C,30,TOT,40,10,555,82,147,1,3,81,144,34,47,71,111,182,25,11,19,24,74
Reggie Jackson,798,PG,33,DEN,78,23,1730,313,716,98,267,215,449,74,93,31,117,148,296,41,12,101,140
Reggie Bullock,96,SF,32,HOU,40,0,390,34,80,27,65,7,15,1,1,6,63,69,14,10,4,9,28
Rayan Rupert,132,SG,19,POR,35,8,505,46,128,23,58,23,70,17,21,19,57,76,48,11,3,26,51
R.J. Hampton,10,PG,22,MIA,8,2,76,4,14,1,8,3,6,1,2,2,4,6,8,0,0,3,8
Quentin Grimes,359,SG,23,TOT,51,18,1025,122,328,81,240,41,88,34,45,15,85,100,66,35,7,28,75
Precious Achiuwa,554,PF,24,TOT,71,18,1582,230,458,25,95,205,363,69,112,188,286,474,95,46,66,80,140
Peyton Watson,507,SF,21,DEN,76,4,1395,197,423,44,149,153,274,69,102,52,184,236,77,40,79,55,135
Payton Pritchard,696,PG,26,BOS,78,3,1706,259,570,136,356,123,214,42,52,67,180,247,249,37,6,56,101
Paul Reed,573,C,24,PHI,79,24,1532,246,458,21,56,225,402,60,82,184,283,467,105,64,81,65,191
Paul George,1638,PF,33,LAC,72,72,2454,572,1216,238,580,334,636,256,283,36,344,380,256,111,35,146,198
Patty Mills,120,PG,35,TOT,30,5,396,44,124,23,81,21,43,9,9,9,25,34,33,20,1,16,30
Patrick Williams,429,PF,22,CHI,43,30,1174,159,359,59,148,100,211,52,66,46,120,166,66,40,33,57,87
Patrick Beverley,410,PG,35,TOT,69,9,1356,143,352,54,169,89,183,70,86,44,169,213,194,40,31,62,123
Patrick Baldwin Jr.,118,SF,21,WAS,35,4,381,40,121,21,75,19,46,17,25,15,83,98,21,13,13,16,47
Pat Connaughton,411,SF,31,MIL,72,3,1602,144,329,81,230,63,99,42,55,49,183,232,154,38,19,46,93
Pascal Siakam,1674,PF,29,TOT,77,77,2573,655,1228,82,241,573,987,282,386,131,413,544,337,62,23,136,182
Paolo Banchero,1715,PF,21,ORL,76,76,2653,611,1330,114,332,497,998,379,526,78,437,515,405,70,46,236,149
P.J. Washington,917,PF,25,TOT,70,42,2143,345,785,129,398,216,387,98,142,82,313,395,135,68,58,92,165
P.J. Tucker,42,PF,38,TOT,28,7,434,14,44,11,32,3,12,3,3,25,50,75,15,14,7,8,54
Ousmane Dieng,120,PF,20,OKC,31,0,342,43,104,20,67,23,37,14,16,10,40,50,33,5,3,17,20
Otto Porter Jr.,39,SF,30,TOR,15,1,174,14,33,8,23,6,10,3,3,6,23,29,8,5,5,2,19
Oshae Brissett,187,SF,25,BOS,52,1,593,62,136,15,53,47,83,48,75,54,91,145,41,17,5,17,52
Orlando Robinson,99,C,23,MIA,33,7,300,36,72,8,15,28,57,19,25,28,56,84,34,7,8,18,35
Onyeka Okongwu,561,C,23,ATL,55,8,1405,223,365,23,69,200,296,92,116,145,231,376,74,26,60,45,162
Onuralp Bitim,74,SG,24,CHI,21,0,241,30,72,11,37,19,35,3,4,6,24,30,13,3,2,7,21
Omer Yurtseven,177,C,25,UTA,44,8,446,79,145,5,20,74,125,14,22,59,105,164,22,6,18,31,48
Olivier-Maxence Prosper,83,PF,21,DAL,36,0,264,26,75,8,34,18,41,23,34,20,44,64,20,5,3,5,17
Olivier Sarr,34,C,24,OKC,14,0,95,11,19,2,6,9,13,10,15,10,25,35,2,0,7,3,18
OG Anunoby,671,SF,26,TOT,46,46,1564,257,526,91,249,166,277,66,86,44,150,194,101,63,33,72,107
Ochai Agbaji,429,SG,23,TOT,74,25,1520,168,405,61,203,107,202,32,50,69,136,205,77,44,39,59,109
Obi Toppin,803,PF,25,IND,79,28,1680,316,551,98,240,218,311,73,96,82,228,310,117,43,41,66,138
Norman Powell,1042,SG,30,LAC,74,2,1942,367,749,165,377,202,372,143,172,16,173,189,80,43,22,65,132
Noah Clowney,98,PF,19,BRK,20,1,262,36,68,9,23,27,45,17,25,20,45,65,13,6,8,10,21
Nikola Vucevic,1288,C,33,CHI,73,71,2491,550,1155,86,300,464,855,102,124,201,573,774,246,48,58,118,183
Nikola Jovic,298,PF,20,MIA,42,34,790,106,238,55,137,51,101,31,45,23,148,171,82,22,14,39,74
Nikola Jokic,1979,C,28,DEN,75,75,2595,778,1347,78,225,700,1122,345,419,210,720,930,677,96,66,223,181
Nicolas Batum,313,PF,35,TOT,57,37,1450,113,243,72,177,41,66,15,21,67,169,236,121,46,37,39,104
Nickeil Alexander-Walker,612,SG,25,MIN,78,20,1830,220,500,123,314,97,186,49,61,33,128,161,194,59,39,72,138
Nick Smith Jr.,263,SG,19,CHO,48,0,663,99,255,54,128,45,127,11,13,17,46,63,53,8,7,36,54
Nick Richards,637,C,26,CHO,65,51,1720,253,368,0,1,253,367,131,178,170,360,530,52,25,74,70,168
Nic Claxton,812,C,24,BRK,68,68,2027,353,561,1,5,352,556,105,188,185,490,675,139,46,139,86,168
Naz Reid,1045,C,24,MIN,77,12,1877,390,809,164,392,226,417,101,135,72,336,408,101,59,70,105,161
Nate Hinton,31,SG,24,HOU,13,0,60,10,23,7,12,3,11,4,5,6,11,17,6,2,2,3,10
Nassir Little,146,SF,23,PHO,42,2,451,54,119,21,68,33,51,17,20,14,61,75,21,10,10,14,39
Naji Marshall,464,SF,26,NOP,65,1,1253,169,366,58,150,111,216,68,86,53,186,239,128,49,12,64,91
Myles Turner,1249,C,27,IND,74,74,2005,451,871,109,308,342,563,238,305,109,402,511,94,39,138,104,227
Mouhamadou Gueye,23,PF,25,TOR,10,0,97,10,31,0,3,10,28,3,8,11,8,19,4,2,15,12,11
Moses Moody,507,SG,21,GSW,62,9,1097,185,402,69,193,116,209,68,85,63,126,189,52,40,24,40,86
Moritz Wagner,822,C,26,ORL,76,1,1341,313,525,37,112,276,413,159,197,113,218,331,92,37,20,91,151
Monte Morris,155,PG,28,TOT,29,0,437,59,141,24,63,35,78,13,19,7,43,50,64,19,7,7,13
Mo Bamba,247,C,25,PHI,54,16,717,95,194,25,63,70,131,32,48,75,156,231,41,22,57,39,99
Miles McBride,546,PG,23,NYK,65,14,1270,198,434,107,254,91,180,43,50,29,67,96,105,49,7,29,104
Miles Bridges,1405,SF,25,CHO,66,64,2500,542,1177,153,440,389,737,168,205,69,425,494,223,64,32,133,114
Mike Muscala,155,C,32,TOT,49,6,562,55,150,28,94,27,56,17,25,35,80,115,34,9,13,19,47
Mike Conley,805,PG,36,MIN,72,72,2077,272,603,163,376,109,227,98,108,33,169,202,432,83,15,92,123
Mikal Bridges,1582,SF,27,BRK,79,79,2782,556,1269,214,574,342,695,256,315,67,300,367,292,81,29,163,114
Michael Porter Jr.,1300,SF,25,DEN,77,77,2445,500,1026,213,530,287,496,87,105,102,442,544,116,41,50,88,143
Micah Potter,41,PF,25,UTA,14,0,157,14,31,7,17,7,14,6,6,8,26,34,5,4,4,4,8
Maxi Kleber,171,C,32,DAL,40,7,820,56,138,28,87,28,51,31,45,25,107,132,64,17,26,26,77
Max Strus,824,SF,27,CLE,67,67,2151,294,701,161,465,133,236,75,93,60,257,317,262,62,29,109,167
Max Christie,282,SG,20,LAL,65,7,940,102,240,42,118,60,122,36,46,15,126,141,60,20,17,35,57
