species,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
Adelie,39.1,18.7,181,3750,male,2007
Adelie,39.5,17.4,186,3800,female,2007
Adelie,40.3,18,195,3250,female,2007
Adelie,36.7,19.3,193,3450,female,2007
Adelie,39.3,20.6,190,3650,male,2007
Adelie,38.9,17.8,181,3625,female,2007
Adelie,39.2,19.6,195,4675,male,2007
Adelie,41.1,17.6,182,3200,female,2007
Adelie,38.6,21.2,191,3800,male,2007
Adelie,34.6,21.1,198,4400,male,2007
Adelie,36.6,17.8,185,3700,female,2007
Adelie,38.7,19,195,3450,female,2007
Adelie,42.5,20.7,197,4500,male,2007
Adelie,34.4,18.4,184,3325,female,2007
Adelie,46,21.5,194,4200,male,2007
Adelie,37.8,18.3,174,3400,female,2007
Adelie,37.7,18.7,180,3600,male,2007
Adelie,35.9,19.2,189,3800,female,2007
Adelie,38.2,18.1,185,3950,male,2007
Adelie,38.8,17.2,180,3800,male,2007
Adelie,35.3,18.9,187,3800,female,2007
Adelie,40.6,18.6,183,3550,male,2007
Adelie,40.5,17.9,187,3200,female,2007
Adelie,37.9,18.6,172,3150,female,2007
Adelie,40.5,18.9,180,3950,male,2007
Adelie,39.5,16.7,178,3250,female,2007
Adelie,37.2,18.1,178,3900,male,2007
Adelie,39.5,17.8,188,3300,female,2007
Adelie,40.9,18.9,184,3900,male,2007
Adelie,36.4,17,195,3325,female,2007
Adelie,39.2,21.1,196,4150,male,2007
Adelie,38.8,20,190,3950,male,2007
Adelie,42.2,18.5,180,3550,female,2007
Adelie,37.6,19.3,181,3300,female,2007
Adelie,39.8,19.1,184,4650,male,2007
Adelie,36.5,18,182,3150,female,2007
Adelie,40.8,18.4,195,3900,male,2007
Adelie,36,18.5,186,3100,female,2007
Adelie,44.1,19.7,196,4400,male,2007
Adelie,37,16.9,185,3000,female,2007
Adelie,39.6,18.8,190,4600,male,2007
Adelie,41.1,19,182,3425,male,2007
Adelie,36,17.9,190,3450,female,2007
Adelie,42.3,21.2,191,4150,male,2007
Adelie,39.6,17.7,186,3500,female,2008
Adelie,40.1,18.9,188,4300,male,2008
Adelie,35,17.9,190,3450,female,2008
Adelie,42,19.5,200,4050,male,2008
Adelie,34.5,18.1,187,2900,female,2008
Adelie,41.4,18.6,191,3700,male,2008
Adelie,39,17.5,186,3550,female,2008
Adelie,40.6,18.8,193,3800,male,2008
Adelie,36.5,16.6,181,2850,female,2008
Adelie,37.6,19.1,194,3750,male,2008
Adelie,35.7,16.9,185,3150,female,2008
Adelie,41.3,21.1,195,4400,male,2008
Adelie,37.6,17,185,3600,female,2008
Adelie,41.1,18.2,192,4050,male,2008
Adelie,36.4,17.1,184,2850,female,2008
Adelie,41.6,18,192,3950,male,2008
Adelie,35.5,16.2,195,3350,female,2008
Adelie,41.1,19.1,188,4100,male,2008
Adelie,35.9,16.6,190,3050,female,2008
Adelie,41.8,19.4,198,4450,male,2008
Adelie,33.5,19,190,3600,female,2008
Adelie,39.7,18.4,190,3900,male,2008
Adelie,39.6,17.2,196,3550,female,2008
Adelie,45.8,18.9,197,4150,male,2008
Adelie,35.5,17.5,190,3700,female,2008
Adelie,42.8,18.5,195,4250,male,2008
Adelie,40.9,16.8,191,3700,female,2008
Adelie,37.2,19.4,184,3900,male,2008
Adelie,36.2,16.1,187,3550,female,2008
Adelie,42.1,19.1,195,4000,male,2008
Adelie,34.6,17.2,189,3200,female,2008
Adelie,42.9,17.6,196,4700,male,2008
Adelie,36.7,18.8,187,3800,female,2008
Adelie,35.1,19.4,193,4200,male,2008
Adelie,37.3,17.8,191,3350,female,2008
Adelie,41.3,20.3,194,3550,male,2008
Adelie,36.3,19.5,190,3800,male,2008
Adelie,36.9,18.6,189,3500,female,2008
Adelie,38.3,19.2,189,3950,male,2008
Adelie,38.9,18.8,190,3600,female,2008
Adelie,35.7,18,202,3550,female,2008
Adelie,41.1,18.1,205,4300,male,2008
Adelie,34,17.1,185,3400,female,2008
Adelie,39.6,18.1,186,4450,male,2008
Adelie,36.2,17.3,187,3300,female,2008
Adelie,40.8,18.9,208,4300,male,2008
Adelie,38.1,18.6,190,3700,female,2008
Adelie,40.3,18.5,196,4350,male,2008
Adelie,33.1,16.1,178,2900,female,2008
Adelie,43.2,18.5,192,4100,male,2008
Adelie,35,17.9,192,3725,female,2009
Adelie,41,20,203,4725,male,2009
Adelie,37.7,16,183,3075,female,2009
Adelie,37.8,20,190,4250,male,2009
Adelie,37.9,18.6,193,2925,female,2009
Adelie,39.7,18.9,184,3550,male,2009
Adelie,38.6,17.2,199,3750,female,2009
Adelie,38.2,20,190,3900,male,2009
Adelie,38.1,17,181,3175,female,2009
Adelie,43.2,19,197,4775,male,2009
Adelie,38.1,16.5,198,3825,female,2009
Adelie,45.6,20.3,191,4600,male,2009
Adelie,39.7,17.7,193,3200,female,2009
Adelie,42.2,19.5,197,4275,male,2009
Adelie,39.6,20.7,191,3900,female,2009
Adelie,42.7,18.3,196,4075,male,2009
Adelie,38.6,17,188,2900,female,2009
Adelie,37.3,20.5,199,3775,male,2009
Adelie,35.7,17,189,3350,female,2009
Adelie,41.1,18.6,189,3325,male,2009
Adelie,36.2,17.2,187,3150,female,2009
Adelie,37.7,19.8,198,3500,male,2009
Adelie,40.2,17,176,3450,female,2009
Adelie,41.4,18.5,202,3875,male,2009
Adelie,35.2,15.9,186,3050,female,2009
Adelie,40.6,19,199,4000,male,2009
Adelie,38.8,17.6,191,3275,female,2009
Adelie,41.5,18.3,195,4300,male,2009
Adelie,39,17.1,191,3050,female,2009
Adelie,44.1,18,210,4000,male,2009
Adelie,38.5,17.9,190,3325,female,2009
Adelie,43.1,19.2,197,3500,male,2009
Adelie,36.8,18.5,193,3500,female,2009
Adelie,37.5,18.5,199,4475,male,2009
Adelie,38.1,17.6,187,3425,female,2009
Adelie,41.1,17.5,190,3900,male,2009
Adelie,35.6,17.5,191,3175,female,2009
Adelie,40.2,20.1,200,3975,male,2009
Adelie,37,16.5,185,3400,female,2009
Adelie,39.7,17.9,193,4250,male,2009
Adelie,40.2,17.1,193,3400,female,2009
Adelie,40.6,17.2,187,3475,male,2009
Adelie,32.1,15.5,188,3050,female,2009
Adelie,40.7,17,190,3725,male,2009
Adelie,37.3,16.8,192,3000,female,2009
Adelie,39,18.7,185,3650,male,2009
Adelie,39.2,18.6,190,4250,male,2009
Adelie,36.6,18.4,184,3475,female,2009
Adelie,36,17.8,195,3450,female,2009
Adelie,37.8,18.1,193,3750,male,2009
Adelie,36,17.1,187,3700,female,2009
Adelie,41.5,18.5,201,4000,male,2009
Gentoo,46.1,13.2,211,4500,female,2007
Gentoo,50,16.3,230,5700,male,2007
Gentoo,48.7,14.1,210,4450,female,2007
Gentoo,50,15.2,218,5700,male,2007
Gentoo,47.6,14.5,215,5400,male,2007
Gentoo,46.5,13.5,210,4550,female,2007
Gentoo,45.4,14.6,211,4800,female,2007
Gentoo,46.7,15.3,219,5200,male,2007
Gentoo,43.3,13.4,209,4400,female,2007
Gentoo,46.8,15.4,215,5150,male,2007
Gentoo,40.9,13.7,214,4650,female,2007
Gentoo,49,16.1,216,5550,male,2007
Gentoo,45.5,13.7,214,4650,female,2007
Gentoo,48.4,14.6,213,5850,male,2007
Gentoo,45.8,14.6,210,4200,female,2007
Gentoo,49.3,15.7,217,5850,male,2007
Gentoo,42,13.5,210,4150,female,2007
Gentoo,49.2,15.2,221,6300,male,2007
Gentoo,46.2,14.5,209,4800,female,2007
Gentoo,48.7,15.1,222,5350,male,2007
Gentoo,50.2,14.3,218,5700,male,2007
Gentoo,45.1,14.5,215,5000,female,2007
Gentoo,46.5,14.5,213,4400,female,2007
Gentoo,46.3,15.8,215,5050,male,2007
Gentoo,42.9,13.1,215,5000,female,2007
Gentoo,46.1,15.1,215,5100,male,2007
Gentoo,47.8,15,215,5650,male,2007
Gentoo,48.2,14.3,210,4600,female,2007
Gentoo,50,15.3,220,5550,male,2007
Gentoo,47.3,15.3,222,5250,male,2007
Gentoo,42.8,14.2,209,4700,female,2007
Gentoo,45.1,14.5,207,5050,female,2007
Gentoo,59.6,17,230,6050,male,2007
Gentoo,49.1,14.8,220,5150,female,2008
Gentoo,48.4,16.3,220,5400,male,2008
Gentoo,42.6,13.7,213,4950,female,2008
Gentoo,44.4,17.3,219,5250,male,2008
Gentoo,44,13.6,208,4350,female,2008
Gentoo,48.7,15.7,208,5350,male,2008
Gentoo,42.7,13.7,208,3950,female,2008
Gentoo,49.6,16,225,5700,male,2008
Gentoo,45.3,13.7,210,4300,female,2008
Gentoo,49.6,15,216,4750,male,2008
Gentoo,50.5,15.9,222,5550,male,2008
Gentoo,43.6,13.9,217,4900,female,2008
Gentoo,45.5,13.9,210,4200,female,2008
Gentoo,50.5,15.9,225,5400,male,2008
Gentoo,44.9,13.3,213,5100,female,2008
Gentoo,45.2,15.8,215,5300,male,2008
Gentoo,46.6,14.2,210,4850,female,2008
Gentoo,48.5,14.1,220,5300,male,2008
Gentoo,45.1,14.4,210,4400,female,2008
Gentoo,50.1,15,225,5000,male,2008
Gentoo,46.5,14.4,217,4900,female,2008
Gentoo,45,15.4,220,5050,male,2008
Gentoo,43.8,13.9,208,4300,female,2008
Gentoo,45.5,15,220,5000,male,2008
Gentoo,43.2,14.5,208,4450,female,2008
Gentoo,50.4,15.3,224,5550,male,2008
Gentoo,45.3,13.8,208,4200,female,2008
Gentoo,46.2,14.9,221,5300,male,2008
Gentoo,45.7,13.9,214,4400,female,2008
Gentoo,54.3,15.7,231,5650,male,2008
Gentoo,45.8,14.2,219,4700,female,2008
Gentoo,49.8,16.8,230,5700,male,2008
Gentoo,49.5,16.2,229,5800,male,2008
